Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade,Electricity_Availability,Internet_Accessibility,Peer_Influence,Community_Beliefs,Family_Support,Home_Study_Environment,Motivation_Level,Lecture_Quality,Physical_Health,Psychological_State
23,Female,8.2,80.0,7.3,2.3,3.2,1.83,No,Online,Average,Average,Yes,3,High,1.8,A,0.71,1,Positive,2.4,3.5,5.0,4.0,1.2,5.0,5.0
23,Male,4.07,69.2,7.9,3.6,0.5,1.59,Yes,Offline,Average,Good,No,2,Middle,1.0,A,0.54,2,Neutral,1.9,2.4,3.6,3.9,5.0,3.6,3.3
18,Female,5.07,74.2,6.7,2.6,4.7,1.95,No,Hybrid,Average,Good,No,1,Middle,4.2,A,0.66,0,Negative,2.7,4.3,3.1,1.7,1.7,4.5,4.4
26,Female,5.82,82.5,3.7,3.3,2.3,1.71,No,Offline,Average,Excellent,No,0,Middle,3.6,A,0.36,2,Neutral,3.2,3.3,3.0,4.4,2.7,4.4,2.5
21,Male,3.42,90.8,7.4,7.0,3.1,1.68,Yes,Offline,Average,Good,No,2,Middle,4.5,B,0.95,1,Neutral,5.0,2.5,3.9,3.2,2.1,4.7,2.4
20,Female,5.0,82.7,6.5,9.1,3.8,1.89,No,Hybrid,Good,Average,No,1,High,1.4,A,0.33,0,Positive,4.3,1.9,5.0,2.8,3.3,4.0,2.4
23,Male,5.0,78.9,5.0,7.8,3.0,1.74,No,Online,Average,Good,Yes,1,Middle,4.2,C,0.8,2,Positive,2.3,2.6,2.8,3.1,3.2,3.4,2.8
19,Male,1.49,77.4,6.0,6.2,4.7,1.24,No,Offline,Average,Average,Yes,0,Middle,7.1,D,0.41,0,Positive,2.3,3.3,2.8,2.3,3.6,3.2,2.0
23,Female,7.04,95.6,6.7,3.0,2.7,1.96,No,Online,Poor,Poor,No,2,High,4.0,A,0.52,0,Positive,1.9,2.8,3.3,3.0,3.2,4.3,3.2
17,Female,6.2,71.9,6.4,4.6,5.0,1.22,No,Hybrid,Average,Average,Yes,0,High,4.3,B,0.81,0,Positive,3.8,4.4,5.0,3.1,2.5,3.8,1.7
24,Female,3.75,75.4,6.7,4.4,4.4,1.82,No,Online,Average,Average,Yes,2,Middle,6.5,B,0.89,1,Neutral,2.6,2.7,4.4,3.0,3.2,3.7,2.3
20,Male,4.66,83.5,7.1,9.4,4.8,1.76,Yes,Offline,Average,Excellent,Yes,2,Middle,4.2,B,0.24,2,Positive,2.9,2.5,2.4,2.2,3.8,4.0,1.0
22,Non-Binary,6.01,92.7,5.8,6.7,3.2,1.84,No,Hybrid,Average,Average,No,2,Low,6.8,B,0.6,2,Positive,2.5,2.8,3.6,3.3,2.6,3.4,1.9
19,Male,5.1,62.9,7.7,4.8,0.5,2.08,Yes,Online,Good,Average,No,1,Low,4.6,A,0.54,1,Neutral,5.0,1.0,3.2,3.4,3.0,5.0,2.3
22,Male,4.67,89.6,6.5,5.1,0.9,1.52,No,Online,Average,Excellent,Yes,2,Low,3.5,A,0.25,1,Positive,4.3,3.6,2.7,3.0,3.0,4.2,3.4
24,Male,2.09,91.5,5.2,4.7,3.8,1.56,No,Offline,Good,Average,No,1,High,7.0,C,0.73,1,Negative,2.0,4.7,4.8,3.1,3.4,4.8,2.7
21,Female,6.11,82.5,5.7,5.0,5.5,1.93,Yes,Online,Average,Poor,No,0,Low,3.2,A,0.27,1,Positive,1.9,3.1,2.7,3.8,2.9,3.7,4.2
22,Female,5.25,61.2,5.9,4.4,3.1,1.61,No,Hybrid,Average,Average,Yes,2,Middle,3.4,A,0.56,0,Negative,4.2,3.2,4.3,2.4,3.9,4.3,3.9
20,Female,5.55,72.9,8.0,4.9,4.2,2.14,Yes,Online,Good,Average,Yes,4,Middle,1.7,A,0.43,0,Negative,2.0,3.0,4.2,4.1,2.0,4.9,4.4
25,Female,1.95,78.5,7.2,5.1,5.7,1.56,No,Hybrid,Average,Average,No,0,High,7.3,C,0.53,1,Neutral,4.3,1.9,3.2,2.1,2.8,4.7,3.2
21,Male,8.3,82.8,6.5,10.0,3.0,2.04,No,Offline,Good,Poor,No,0,Low,4.6,A,0.42,0,Positive,3.7,2.0,2.8,3.2,2.6,4.6,1.9
24,Female,5.31,67.6,7.0,3.5,3.9,2.06,No,Hybrid,Average,Good,Yes,1,Middle,6.0,A,0.74,2,Negative,2.1,3.1,3.9,3.2,4.0,3.4,2.4
24,Male,4.23,77.5,6.4,8.1,5.8,1.98,Yes,Offline,Good,Average,Yes,1,Middle,5.1,B,0.31,0,Neutral,3.7,2.9,5.0,2.5,3.2,5.0,2.6
20,Female,9.06,87.0,6.5,3.8,3.0,1.56,Yes,Offline,Good,Average,Yes,4,Middle,5.2,A,0.62,2,Positive,3.4,3.3,3.8,4.9,3.0,5.0,1.9
19,Male,4.91,74.5,7.7,10.0,5.3,1.93,No,Offline,Poor,Excellent,Yes,3,Middle,3.5,B,0.44,2,Negative,1.4,2.4,3.9,2.2,4.2,4.2,3.6
20,Female,2.1,76.9,7.2,7.1,4.1,2.11,Yes,Online,Good,Good,No,2,Middle,6.8,B,0.47,0,Positive,3.0,2.1,3.5,2.6,3.9,4.4,1.0
24,Female,4.19,75.3,7.0,5.8,0.6,1.96,Yes,Offline,Average,Excellent,No,1,Low,3.7,A,0.6,2,Positive,2.6,3.5,3.0,3.7,2.0,5.0,3.1
19,Female,0.42,65.8,6.9,4.2,6.3,2.17,No,Hybrid,Average,Good,No,2,Middle,5.4,C,0.4,0,Neutral,3.4,4.0,2.9,3.1,2.1,4.7,3.1
21,Female,7.1,76.4,6.5,4.2,3.8,1.54,No,Offline,Average,Average,No,1,Low,4.5,A,0.42,2,Positive,2.8,3.1,3.5,4.0,3.8,4.6,3.4
24,Male,4.17,77.8,7.8,5.2,4.5,1.77,No,Offline,Average,Good,Yes,2,High,8.4,B,0.6,0,Positive,3.4,3.0,4.6,4.6,1.4,4.6,2.8
20,Female,3.51,87.4,6.8,2.1,5.4,2.38,Yes,Offline,Good,Poor,No,3,Middle,5.0,A,0.31,0,Positive,2.4,2.7,1.6,3.3,3.2,4.3,3.5
22,Male,7.14,72.0,7.6,8.3,4.9,1.64,Yes,Hybrid,Poor,Poor,Yes,2,High,5.6,A,0.49,0,Positive,2.9,2.7,4.3,3.8,3.4,4.7,2.7
19,Female,1.7,66.9,4.9,2.8,3.7,1.4,No,Hybrid,Average,Good,No,2,Low,5.3,C,0.56,2,Neutral,1.7,3.1,3.9,5.0,3.9,3.7,3.3
18,Female,6.07,75.0,8.5,6.2,4.2,1.82,No,Offline,Average,Good,No,2,High,3.9,A,0.21,1,Positive,2.6,2.2,4.9,2.6,1.6,5.0,1.6
24,Male,0.87,71.1,6.5,8.0,5.2,1.57,No,Hybrid,Average,Good,No,0,Middle,6.8,D,0.24,2,Neutral,2.6,2.0,4.3,3.3,2.8,3.3,2.2
18,Non-Binary,3.68,85.5,5.7,2.2,8.0,1.84,Yes,Online,Average,Excellent,No,2,Low,7.7,C,0.41,1,Positive,1.6,3.3,2.8,3.7,1.9,4.8,2.2
